profile_name,start_time,duration,attributes,title,supplemental_video_type,device_type,bookmark,latest_bookmark,country,tv_show_name,tv_show_season,tv_show_episode,content_type,duration_hours,content_title
Kids,2019-09-20,0 years 0 mons 0 days 0 hours 0 mins 2.0 secs,,The Smurfs 2,,Apple iPhone XS,0:00:12,0:00:12,IL (Israel),,,,Movie,0.00055555555555555556,The Smurfs 2
Michael,2022-01-30,0 years 0 mons 0 days 0 hours 0 mins 31.0 secs,,Brooklyn Nine-Nine: Season 3: The Funeral (Episode 2),,Apple iPhone XS,0:21:35,0:21:35,IL (Israel),Brooklyn Nine-Nine, Season 3, The Funeral (Episode 2),TV Show,0.00861111111111111111,Brooklyn Nine-Nine
Michael,2021-12-25,0 years 0 mons 0 days 0 hours 12 mins 57.0 secs,,Superstore: Season 1: Shots and Salsa (Episode 3),,Apple iPhone XS,0:21:24,0:21:24,IL (Israel),Superstore, Season 1, Shots and Salsa (Episode 3),TV Show,0.21583333333333333333,Superstore
Michael,2021-08-08,0 years 0 mons 0 days 0 hours 53 mins 52.0 secs,Autoplayed: user action: User_Interaction; ,Minions,,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:53:52,0:53:52,IL (Israel),,,,Movie,0.89777777777777777778,Minions
Michael,2022-02-02,0 years 0 mons 0 days 0 hours 0 mins 1.0 secs,,Brooklyn Nine-Nine: Season 3: The Oolong Slayer (Episode 4),,Apple iPhone XS,0:21:24,0:21:24,IL (Israel),Brooklyn Nine-Nine, Season 3, The Oolong Slayer (Episode 4),TV Show,0.00027777777777777778,Brooklyn Nine-Nine
Michael,2022-01-31,0 years 0 mons 0 days 0 hours 14 mins 38.0 secs,,Brooklyn Nine-Nine: Season 3: Boyle's Hunch (Episode 3),,Apple iPhone XS,0:21:34,0:21:34,IL (Israel),Brooklyn Nine-Nine, Season 3, Boyle's Hunch (Episode 3),TV Show,0.24388888888888888889,Brooklyn Nine-Nine
Michael,2021-07-19,0 years 0 mons 0 days 0 hours 11 mins 29.0 secs,,The Good Place: Season 2: Leap to Faith (Episode 8),,Apple iPhone XS,0:11:30,Not latest view,IL (Israel),The Good Place, Season 2, Leap to Faith (Episode 8),TV Show,0.19138888888888888889,The Good Place
Michael,2021-05-14,0 years 0 mons 0 days 0 hours 0 mins 3.0 secs,,Glee: Season 1: Hell-O (Episode 14),,Apple iPhone XS,0:29:23,0:29:23,IL (Israel),Glee, Season 1, Hell-O (Episode 14),TV Show,0.00083333333333333333,Glee
Michael,2021-04-23,0 years 0 mons 0 days 0 hours 15 mins 36.0 secs,,Glee: Season 1: Showmance (Episode 2),,Netflix Windows App - Cadmium Windows Mobile,0:17:24,Not latest view,IL (Israel),Glee, Season 1, Showmance (Episode 2),TV Show,0.26,Glee
Michael,2022-01-30,0 years 0 mons 0 days 0 hours 3 mins 55.0 secs,,Brooklyn Nine-Nine: Season 3: Boyle's Hunch (Episode 3),,Apple iPhone XS,0:04:15,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 3, Boyle's Hunch (Episode 3),TV Show,0.06527777777777777778,Brooklyn Nine-Nine
Michael,2021-03-12,0 years 0 mons 0 days 0 hours 8 mins 57.0 secs,,Friends: Season 4: The One with the Embryos (Episode 12),,Apple iPhone XS,0:22:06,0:22:06,IL (Israel),Friends, Season 4, The One with the Embryos (Episode 12),TV Show,0.14916666666666666667,Friends
Michael,2021-03-03,0 years 0 mons 0 days 0 hours 5 mins 0.0 secs,,Friends: Season 2: The One After the Super Bowl: Part 1 (Episode 12),,Apple iPhone XS,0:06:50,Not latest view,IL (Israel),Friends, Season 2, The One After the Super Bowl,TV Show,0.08333333333333333333,Friends
Michael,2022-01-30,0 years 0 mons 0 days 0 hours 13 mins 20.0 secs,,Brooklyn Nine-Nine: Season 3: The Funeral (Episode 2),,Apple iPhone XS,0:21:04,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 3, The Funeral (Episode 2),TV Show,0.22222222222222222222,Brooklyn Nine-Nine
Michael,2022-10-01,0 years 0 mons 0 days 0 hours 3 mins 51.0 secs,,DAHMER: Monster: The Jeffrey Dahmer Story: Episode One,,Apple iPhone 13,0:46:26,0:46:26,IL (Israel),DAHMER, Monster, The Jeffrey Dahmer Story,TV Show,0.06416666666666666667,DAHMER
Michael,2022-01-29,0 years 0 mons 0 days 0 hours 1 mins 19.0 secs,,Brooklyn Nine-Nine: Season 3: The Funeral (Episode 2),,Apple iPhone XS,0:01:35,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 3, The Funeral (Episode 2),TV Show,0.02194444444444444444,Brooklyn Nine-Nine
Michael,2022-01-29,0 years 0 mons 0 days 0 hours 14 mins 55.0 secs,,Brooklyn Nine-Nine: Season 2: Johnny and Dora (Episode 23),,Apple iPhone XS,0:21:25,0:21:25,IL (Israel),Brooklyn Nine-Nine, Season 2, Johnny and Dora (Episode 23),TV Show,0.24861111111111111111,Brooklyn Nine-Nine
Michael,2022-01-29,0 years 0 mons 0 days 0 hours 9 mins 7.0 secs,,Brooklyn Nine-Nine: Season 2: The Chopper (Episode 22),,Apple iPhone XS,0:21:35,0:21:35,IL (Israel),Brooklyn Nine-Nine, Season 2, The Chopper (Episode 22),TV Show,0.15194444444444444444,Brooklyn Nine-Nine
Michael,2022-01-28,0 years 0 mons 0 days 0 hours 4 mins 20.0 secs,,Friends: Season 1: The One Where Monica Gets a Roommate (Pilot) (Episode 1),,Apple iPhone XS,0:04:19,0:04:19,IL (Israel),Friends, Season 1, The One Where Monica Gets a Roommate (Pilot) (Episode 1),TV Show,0.07222222222222222222,Friends
Michael,2020-12-31,0 years 0 mons 0 days 0 hours 19 mins 32.0 secs,,Modern Family: Season 11: Finale: Part 2 (Episode 18),,Apple iPhone XS,0:21:21,0:21:21,IL (Israel),Modern Family, Season 11, Finale,TV Show,0.32555555555555555556,Modern Family
Michael,2020-11-25,0 years 0 mons 0 days 0 hours 5 mins 53.0 secs,,The SpongeBob SquarePants Movie,,Netflix Windows App - Cadmium Windows Mobile,0:26:35,Not latest view,IL (Israel),,,,Movie,0.09805555555555555556,The SpongeBob SquarePants Movie
Michael,2020-11-27,0 years 0 mons 0 days 1 hours 5 mins 10.0 secs,,The Emoji Movie,,Netflix Windows App - Cadmium Windows Mobile,1:15:43,1:15:43,IL (Israel),,,,Movie,1.0861111111111111,The Emoji Movie
Michael,2022-01-28,0 years 0 mons 0 days 0 hours 0 mins 5.0 secs,,Friends: Season 8: The One with the Baby Shower (Episode 20),,Apple iPhone XS,0:00:05,0:00:05,IL (Israel),Friends, Season 8, The One with the Baby Shower (Episode 20),TV Show,0.00138888888888888889,Friends
Michael,2022-01-28,0 years 0 mons 0 days 0 hours 10 mins 29.0 secs,,Brooklyn Nine-Nine: Season 2: The Chopper (Episode 22),,Apple iPhone XS,0:10:47,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, The Chopper (Episode 22),TV Show,0.17472222222222222222,Brooklyn Nine-Nine
Michael,2022-01-28,0 years 0 mons 0 days 0 hours 0 mins 2.0 secs,,Brooklyn Nine-Nine: Season 2: Det. Dave Majors (Episode 21),,Apple iPhone XS,0:07:08,0:07:08,IL (Israel),Brooklyn Nine-Nine, Season 2, Det,TV Show,0.00055555555555555556,Brooklyn Nine-Nine
Michael,2022-01-27,0 years 0 mons 0 days 0 hours 5 mins 49.0 secs,,Brooklyn Nine-Nine: Season 2: Det. Dave Majors (Episode 21),,Apple iPhone XS,0:06:26,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, Det,TV Show,0.09694444444444444444,Brooklyn Nine-Nine
Michael,2022-01-27,0 years 0 mons 0 days 0 hours 0 mins 2.0 secs,,Brooklyn Nine-Nine: Season 2: AC/DC (Episode 20),,Apple iPhone XS,0:20:02,0:20:02,IL (Israel),Brooklyn Nine-Nine, Season 2, AC/DC (Episode 20),TV Show,0.00055555555555555556,Brooklyn Nine-Nine
Michael,2022-08-18,0 years 0 mons 0 days 0 hours 0 mins 4.0 secs,Autoplayed: user action: None; ,Shrek_hook_primary_16x9,HOOK,Apple iPhone 13,0:00:05,0:00:05,IL (Israel),,,,Movie,0.00111111111111111111,Shrek_hook_primary_16x9
Michael,2022-01-27,0 years 0 mons 0 days 0 hours 1 mins 24.0 secs,,Brooklyn Nine-Nine: Season 2: AC/DC (Episode 20),,Apple iPhone XS,0:20:00,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, AC/DC (Episode 20),TV Show,0.02333333333333333333,Brooklyn Nine-Nine
Michael,2022-01-27,0 years 0 mons 0 days 0 hours 15 mins 2.0 secs,,Brooklyn Nine-Nine: Season 2: AC/DC (Episode 20),,Apple iPhone XS,0:18:36,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, AC/DC (Episode 20),TV Show,0.25055555555555555556,Brooklyn Nine-Nine
Michael,2022-12-16,0 years 0 mons 0 days 0 hours 0 mins 27.0 secs,,Snack VS. Chef: Season 1: Ho Hos (Episode 6),,Apple iPhone 13,0:38:47,0:38:47,IL (Israel),Snack VS, Chef, Season 1,TV Show,0.0075,Snack VS
Michael,2022-01-26,0 years 0 mons 0 days 0 hours 1 mins 19.0 secs,,Brooklyn Nine-Nine: Season 2: AC/DC (Episode 20),,Apple iPhone XS,0:03:24,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, AC/DC (Episode 20),TV Show,0.02194444444444444444,Brooklyn Nine-Nine
