Song,Artist,Streams (Billions),Release Date
Blinding Lights,The Weeknd,3.449,29/11/2019
Shape of You,Ed Sheeran,3.398,06/01/2017
Dance Monkey,Tones And I,2.77,10/05/2019
Someone You Loved,Lewis Capaldi,2.68,08/11/2018
Rockstar,Post Malone featuring 21 Savage,2.62,15/09/2017
Sunflower,Post Malone and Swae Lee,2.575,18/10/2018
One Dance,Drake featuring Wizkid and Kyla,2.556,05/04/2016
Closer,The Chainsmokers featuring Halsey,2.481,29/07/2016
Stay,The Kid Laroi and Justin Bieber,2.432,09/07/2021
Believer,Imagine Dragons,2.41,01/02/2017
Señorita,Shawn Mendes and Camila Cabello,2.365,21/06/2019
Perfect,Ed Sheeran,2.361,03/03/2017
Heat Waves,Glass Animals,2.32,29/06/2020
Say You Won't Let Go,James Arthur,2.269,09/09/2016
Starboy,The Weeknd featuring Daft Punk,2.258,21/09/2016
Bad Guy,Billie Eilish,2.223,29/03/2019
Thinking Out Loud,Ed Sheeran,2.177,20/06/2014
Lucid Dreams,Juice WRLD,2.177,04/05/2018
Don't Start Now,Dua Lipa,2.17,01/11/2019
Lovely,Billie Eilish and Khalid,2.158,19/04/2018
Watermelon Sugar,Harry Styles,2.14,15/05/2020
God's Plan,Drake,2.126,19/01/2018
Photograph,Ed Sheeran,2.099,20/06/2014
Bohemian Rhapsody,Queen,2.069,31/10/1975
Something Just Like This,The Chainsmokers and Coldplay,2.061,22/02/2017
Sweater Weather,The Neighbourhood,2.041,28/03/2012
Shallow,Lady Gaga and Bradley Cooper,2.035,27/09/2018
As It Was,Harry Styles,2.012,01/04/2022
Love Yourself,Justin Bieber,2.003,09/11/2015
Circles,Post Malone,1.99,30/08/2019
Sad!,XXXTentacion,1.987,01/03/2018
Take Me to Church,Hozier,1.984,13/09/2013
All of Me,John Legend,1.973,12/08/2013
Thunder,Imagine Dragons,1.926,27/04/2017
7 Rings,Ariana Grande,1.924,18/01/2019
Goosebumps,Travis Scott featuring Kendrick Lamar,1.911,02/09/2016
Jocelyn Flores,XXXTentacion,1.905,31/10/2017
Havana,Camila Cabello featuring Young Thug,1.861,03/08/2017
Stressed Out,Twenty One Pilots,1.86,28/04/2015
XO Tour Llif3,Lil Uzi Vert,1.847,24/03/2017
Counting Stars,OneRepublic,1.843,25/03/2013
New Rules,Dua Lipa,1.825,02/06/2017
Wake Me Up,Avicii,1.824,17/06/2013
Riptide,Vance Joy,1.819,21/05/2013
Happier,Marshmello and Bastille,1.817,17/08/2018
Humble,Kendrick Lamar,1.812,30/03/2017
Let Her Go,Passenger,1.811,24/07/2012
The Hills,The Weeknd,1.802,27/05/2015
Sicko Mode,Travis Scott featuring Drake,1.794,03/08/2018
Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,1.778,16/08/2011
Good 4 U,Olivia Rodrigo,1.763,14/05/2021
Sorry,Justin Bieber,1.76,22/10/2015
One Kiss,Calvin Harris and Dua Lipa,1.755,06/04/2018
Let Me Love You,DJ Snake featuring Justin Bieber,1.747,05/08/2016
Drivers License,Olivia Rodrigo,1.734,08/01/2021
Lean On,Major Lazer and DJ Snake featuring MØ,1.728,02/03/2015
Treat You Better,Shawn Mendes,1.725,03/06/2016
Roses (Imanbek remix),Saint Jhn with Imanbek,1.723,18/09/2019
Better Now,Post Malone,1.71,27/04/2018
Stay with Me,Sam Smith,1.709,14/04/2014
Congratulations,Post Malone featuring Quavo,1.703,04/11/2016
Faded,Alan Walker,1.699,03/12/2015
